490
0.010000,-0.279400,0.000000,0.000023,0.004500,0.450000,45.000000,1.570796
0.010000,-0.279400,0.000035,0.000058,0.003512,-0.098811,-54.881100,1.570796
0.010000,-0.279400,0.000238,0.000260,0.020250,1.673811,177.262200,1.570796
0.010000,-0.279400,0.000575,0.000598,0.033750,1.350000,-32.381100,1.570796
0.010000,-0.279400,0.001048,0.001070,0.047250,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.001655,0.001678,0.060750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.002398,0.002420,0.074250,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.003275,0.003298,0.087750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.004288,0.004310,0.101250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.005435,0.005458,0.114750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.006718,0.006740,0.128250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.008135,0.008158,0.141750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.009688,0.009710,0.155250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.011375,0.011398,0.168750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.013198,0.013220,0.182250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.015155,0.015178,0.195750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.017248,0.017270,0.209250,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.019475,0.019498,0.222750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.021838,0.021860,0.236250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.024335,0.024358,0.249750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.026968,0.026990,0.263250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.029735,0.029758,0.276750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.032638,0.032660,0.290250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.035675,0.035698,0.303750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.038848,0.038870,0.317250,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.042155,0.042178,0.330750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.045598,0.045620,0.344250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.049175,0.049198,0.357750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.052888,0.052910,0.371250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.056735,0.056758,0.384750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.060718,0.060740,0.398250,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.064835,0.064858,0.411750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.069088,0.069110,0.425250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.073475,0.073498,0.438750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.077998,0.078020,0.452250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.082655,0.082678,0.465750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.087448,0.087470,0.479250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.092375,0.092398,0.492750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.097438,0.097460,0.506250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.102635,0.102658,0.519750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.107968,0.107990,0.533250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.113435,0.113458,0.546750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.119038,0.119060,0.560250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.124775,0.124798,0.573750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.130648,0.130670,0.587250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.136655,0.136678,0.600750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.142798,0.142820,0.614250,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.149075,0.149098,0.627750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.155488,0.155510,0.641250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.162035,0.162058,0.654750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.168718,0.168740,0.668250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.175535,0.175558,0.681750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.182488,0.182510,0.695250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.189575,0.189598,0.708750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.196798,0.196820,0.722250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.204155,0.204178,0.735750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.211648,0.211670,0.749250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.219275,0.219298,0.762750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.227038,0.227060,0.776250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.234935,0.234958,0.789750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.242968,0.242990,0.803250,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.251135,0.251158,0.816750,1.350000,-0.000000,1.570796
0.010000,-0.279400,0.259438,0.259460,0.830250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.267875,0.267898,0.843750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.276448,0.276470,0.857250,1.350000,0.000000,1.570796
0.010000,-0.279400,0.285155,0.285178,0.870750,1.350000,0.000000,1.570796
0.010000,-0.279400,0.293998,0.294020,0.884250,1.350000,0.000000,1.570796
